,NAME,POPULATION,MALE,FEMALE
581,Jaintia Hills,28430.0,13675.0,14755.0
582,Sheohar,28116.0,14881.0,13235.0
583,East Siang,27635.0,13969.0,13666.0
584,Zunheboto,27597.0,14431.0,13166.0
585,Ukhrul,27187.0,13917.0,13270.0
586,Reasi,26996.0,14980.0,12016.0
587,Ribhoi,25253.0,13826.0,11427.0
588,Bilaspur,25129.0,13111.0,12018.0
589,Saiha,25110.0,12741.0,12369.0
590,West Siang,24968.0,13481.0,11487.0
591,The Dangs,24687.0,12111.0,12576.0
592,Phek,24575.0,13214.0,11361.0
593,Uttarkashi,24305.0,13222.0,11083.0
594,Diu,23991.0,11614.0,12377.0
595,Debagarh,22390.0,11564.0,10826.0
596,Narayanpur,22106.0,11451.0,10655.0
597,South District,21199.0,10822.0,10377.0
598,Lawngtlai,20830.0,10659.0,10171.0
599,Tirap,20810.0,11419.0,9391.0
600,Baudh,20424.0,10492.0,9932.0
601,Tamenglong ,19363.0,9837.0,9526.0
602,Changlang,19228.0,10665.0,8563.0
603,Churachandpur,18357.0,9161.0,9196.0
604,East Kameng,18350.0,9269.0,9081.0
605,Chandel,16847.0,8670.0,8177.0
606,Kiphire,16487.0,8587.0,7900.0
607,Shupiyan,16360.0,9319.0,7041.0
608,Kargil,16338.0,10082.0,6256.0
609,West Kameng,15932.0,8346.0,7586.0
610,Mamit,14899.0,7693.0,7206.0
611,Kishtwar,14865.0,8179.0,6686.0
612,Peren,13790.0,6854.0,6936.0
613,Upper Subansiri,13405.0,6918.0,6487.0
614,South Garo Hills,13131.0,6700.0,6431.0
615,Lower Subansiri,12806.0,6383.0,6423.0
616,Baksa,12242.0,6303.0,5939.0
617,Ramban,11811.0,6815.0,4996.0
618,Lower Dibang Valley,11389.0,6064.0,5325.0
619,Tawang,11202.0,8359.0,2843.0
620,Rudraprayag,9925.0,5849.0,4076.0
621,Bageshwar,9079.0,4711.0,4368.0
622,Longleng,7613.0,3991.0,3622.0
623,Senapati,7476.0,3720.0,3756.0
624,Upper Siang,6540.0,3364.0,3176.0
625,West District,5248.0,2710.0,2538.0
626,North  District,4644.0,2456.0,2188.0
627,North  & Middle Andaman,2741.0,1404.0,1337.0
628,Dibang Valley,2384.0,1316.0,1068.0
629,Kurung Kumey,2345.0,1246.0,1099.0
630,Anjaw,982.0,625.0,357.0
