,NAME,POPULATION,MALE,FEMALE
127,Ganjam,768001.0,395582.0,372419.0
128,Jammu,765013.0,412218.0,352795.0
129,Patiala,763280.0,403722.0,359558.0
130,Adilabad,760259.0,384294.0,375965.0
131,Mathura,755993.0,405097.0,350896.0
132,Sundargarh,738097.0,385079.0,353018.0
133,Cuttack,736047.0,381875.0,354172.0
134,Kachchh,728535.0,383213.0,345322.0
135,Darjiling ,727963.0,370294.0,357669.0
136,Medak,727871.0,370224.0,357647.0
137,Paschim Medinipur,722686.0,366164.0,356522.0
138,Akola,719741.0,368401.0,351340.0
139,Sangli,719357.0,364604.0,354753.0
140,Sagar,708796.0,372124.0,336672.0
141,Namakkal   ,696125.0,348596.0,347529.0
142,Hardwar,693094.0,371511.0,321583.0
143,West Tripura ,677638.0,342708.0,334930.0
144,Palakkad,676810.0,328012.0,348798.0
145,Theni  ,670481.0,334803.0,335678.0
146,Prakasam,664582.0,332123.0,332459.0
147,Nalgonda,662507.0,332056.0,330451.0
148,Gurdaspur,659319.0,356833.0,302486.0
149,Puducherry,657209.0,323489.0,333720.0
150,Khammam,655911.0,324207.0,331704.0
151,Alwar,654451.0,349518.0,304933.0
152,Budaun,644595.0,337383.0,307212.0
153,Nagaur,637204.0,327554.0,309650.0
154,Valsad,635501.0,344578.0,290923.0
155,Anand  ,634987.0,328725.0,306262.0
156,Sikar,633906.0,327521.0,306385.0
157,Davanagere,629010.0,318133.0,310877.0
158,Latur,624980.0,323433.0,301547.0
159,Shimoga,623727.0,311594.0,312133.0
160,Udaipur,608426.0,315485.0,292941.0
161,Mahbubnagar,607692.0,307948.0,299744.0
162,Bhagalpur,602532.0,320277.0,282255.0
163,Gandhinagar,600627.0,315428.0,285199.0
164,Tumkur,599078.0,301884.0,297194.0
165,Yavatmal,598153.0,304817.0,293336.0
166,Bagalkot ,597846.0,299844.0,298002.0
167,Shahjahanpur,594092.0,312689.0,281403.0
168,Purba Medinipur,592714.0,307272.0,285442.0
169,Rampur,588647.0,307011.0,281636.0
170,Nizamabad,588372.0,291804.0,296568.0
171,Udham Singh Nagar,586760.0,308313.0,278447.0
172,Central,582320.0,307821.0,274499.0
173,Gaya,581601.0,305974.0,275627.0
174,Churu,576235.0,296418.0,279817.0
175,Dhule,571036.0,295115.0,275921.0
176,Satara,570378.0,291093.0,279285.0
177,Begusarai,569823.0,301352.0,268471.0
178,Parbhani,569806.0,290984.0,278822.0
179,Kottayam,565393.0,275616.0,289777.0
180,Panipat,555085.0,297215.0,257870.0
181,Hisar,553488.0,297423.0,256065.0
182,Firozpur,552556.0,295429.0,257127.0
183,Buldana,548860.0,282318.0,266542.0
184,Sahibzada Ajit Singh Nagar,544611.0,288269.0,256342.0
185,Hardoi,541806.0,285295.0,256511.0
186,Maldah ,541660.0,283205.0,258455.0
187,Ganganagar ,535432.0,285071.0,250361.0
188,Unnao,531646.0,278190.0,253456.0
189,Sitapur,530784.0,277141.0,253643.0
190,Bharuch,524959.0,276314.0,248645.0
191,Kheda,523609.0,270530.0,253079.0
192,Viluppuram,519088.0,259344.0,259744.0
193,Sangrur,515965.0,273376.0,242589.0
194,Mahesana,514330.0,269345.0,244985.0
195,Bid,514298.0,266128.0,248170.0
196,Bhilwara,512654.0,265358.0,247296.0
197,Kasaragod,509047.0,240897.0,268150.0
198,Chhindwara,505183.0,258269.0,246914.0
199,Ambala,500774.0,267000.0,233774.0
200,Bathinda,499217.0,268713.0,230504.0
201,Mau,499208.0,255866.0,243342.0
202,Surendranagar,496916.0,260442.0,236474.0
203,Bharatpur,495099.0,262369.0,232730.0
204,Tiruvannamalai,494945.0,246163.0,248782.0
205,North Goa,493081.0,252769.0,240312.0
206,Vizianagaram,490911.0,241049.0,249862.0
207,Raichur,490348.0,246539.0,243809.0
208,Jhunjhunun,489079.0,253178.0,235901.0
209,Kolar,480073.0,240965.0,239108.0
210,Satna,474418.0,249591.0,224827.0
211,Muzaffarpur,473437.0,250685.0,222752.0
212,Yamunanagar,472829.0,252761.0,220068.0
213,Morena,470462.0,253199.0,217263.0
214,Kheri,461035.0,242508.0,218527.0
215,Pali,460006.0,237863.0,222143.0
216,Jyotiba Phule Nagar,458713.0,238910.0,219803.0
217,Nalanda,457894.0,239332.0,218562.0
218,Karnal,454810.0,240602.0,214208.0
219,Sonipat,453364.0,242549.0,210815.0
220,Dewas,451759.0,233639.0,218120.0
221,Birbhum,449448.0,228944.0,220504.0
222,Korba ,446290.0,231491.0,214799.0
223,Rohtak,446164.0,236445.0,209719.0
224,Srikakulam,436703.0,214850.0,221853.0
225,The Nilgiris,435655.0,214234.0,221421.0
226,Ratlam,435031.0,221773.0,213258.0
227,Karur ,434517.0,215556.0,218961.0
228,Bhind,432922.0,232087.0,200835.0
229,Krishnagiri,428363.0,217788.0,210575.0
230,Rohtas,427765.0,225270.0,202495.0
