,NAME,POPULATION
313,Mahesana,514330.0
591,Bid,514298.0
596,Bhilwara,512654.0
383,Kasaragod,509047.0
560,Chhindwara,505183.0
657,Ambala,500774.0
608,Bathinda,499217.0
299,Mau,499208.0
109,Surendranagar,496916.0
599,Bharatpur,495099.0
85,Tiruvannamalai,494945.0
251,North Goa,493081.0
56,Vizianagaram,490911.0
207,Raichur,490348.0
414,Jhunjhunun,489079.0
359,Kolar,480073.0
162,Satna,474418.0
281,Muzaffarpur,473437.0
40,Yamunanagar,472829.0
289,Morena,470462.0
371,Kheri,461035.0
242,Pali,460006.0
409,Jyotiba Phule Nagar,458713.0
272,Nalanda,457894.0
385,Karnal,454810.0
127,Sonipat,453364.0
531,Dewas,451759.0
585,Birbhum,449448.0
352,Korba ,446290.0
184,Rohtak,446164.0
116,Srikakulam,436703.0
99,The Nilgiris,435655.0
191,Ratlam,435031.0
384,Karur ,434517.0
595,Bhind,432922.0
346,Krishnagiri,428363.0
183,Rohtas,427765.0
590,Bidar,425952.0
54,Wardha,423300.0
67,Uttara Kannada,418981.0
195,Ramgarh,418955.0
432,Jalaun ,418900.0
493,Farrukhabad,416185.0
628,Banas Kantha,414915.0
121,South Goa,413733.0
527,Dhar,413221.0
133,Sivaganga,412845.0
197,Ramanathapuram,410699.0
262,Navsari  ,409137.0
214,Purba Champaran,401343.0
561,Chhatarpur,399016.0
187,Rewa,395785.0
640,Azamgarh,393401.0
233,Pashchim Champaran,393165.0
447,Hoshangabad,389986.0
593,Bhojpur,389861.0
654,Amreli,386635.0
541,Darbhanga,383328.0
284,Munger,380120.0
487,Gadag,379309.0
430,Jalna,377429.0
452,Hassan,376763.0
209,Puruliya,373314.0
273,Nainital,371734.0
277,Nagaon,369534.0
502,East Khasi Hills,366481.0
497,Etawah,366299.0
276,Nagapattinam  ,364624.0
180,Sabar Kantha,363720.0
68,Uttar Dinajpur,362228.0
451,Haveri,355501.0
164,Saran,353202.0
224,Pilibhit,351415.0
457,Hanumangarh,350464.0
294,Mirzapur,347567.0
421,Jaunpur,346580.0
210,Purnia,343005.0
496,Faizabad,340253.0
60,Vidisha,339618.0
446,Hoshiarpur,334969.0
240,Panch Mahals,334827.0
77,Udupi,334061.0
318,Mahamaya Nagar,332693.0
620,Bara Banki,330803.0
556,Chitradurga,329533.0
441,Imphal West,322879.0
490,Fatehpur,321993.0
594,Bhiwani,321322.0
136,Sirsa,319248.0
84,Tonk,317723.0
32,ARUNACHAL PRADESH,317369.0
532,Deoria,316803.0
218,Pudukkottai,316354.0
575,Cachar,315464.0
666,Aizawl,314754.0
128,Sonbhadra,314342.0
239,Panchkula,313230.0
464,Guna,312675.0
603,Betul,309151.0
302,Mandya,308362.0
170,Sambalpur,308093.0
208,Rae Bareli,307995.0
413,Jind,305583.0
630,Ballia,304109.0
204,Raisen,303425.0
622,Bankura ,299773.0
373,Khargone (West Nimar),298856.0
147,Shivpuri,295423.0
153,Shajapur,293548.0
364,Koch Bihar ,289434.0
310,Mainpuri,288442.0
393,Kanshiram Nagar,288207.0
222,Porbandar ,285674.0
554,Chittaurgarh,285264.0
635,Bahraich,284044.0
650,Anantnag,282887.0
392,Kapurthala ,282462.0
559,Chikkaballapura,281119.0
231,Patan  ,281081.0
246,Osmanabad,281057.0
398,Kannauj,280841.0
656,Ambedkar Nagar,280730.0
341,Kurukshetra,279225.0
303,Mandsaur,277604.0
203,Rajgarh,276457.0
627,Banda,275755.0
267,Nandurbar,275474.0
450,Hazaribagh,275307.0
636,Baghpat,275025.0
475,Ghazipur,274360.0
381,Katihar,273822.0
201,Rajnandgaon,272512.0
624,Bangalore Rural,268744.0
498,Etah,268142.0
198,Ramanagara,267759.0
161,Sawai Madhopur,266467.0
211,Puri,264930.0
90,Tinsukia,264743.0
190,Ratnagiri,263723.0
380,Katni ,263543.0
526,Dharmapuri,260912.0
577,Burhanpur,260287.0
374,Khandwa (East Nimar),259436.0
165,Saraikela-Kharsawan,258746.0
533,Deoghar,258361.0
95,Thiruvarur,257795.0
618,Baran,254214.0
631,Baleshwar,253293.0
377,Kendujhar,253059.0
287,Muktsar,252191.0
542,Damoh,250551.0
91,Tikamgarh,249873.0
160,Sehore,248462.0
524,Dhaulpur,247450.0
206,Raigarh,246302.0
259,Neemuch ,245230.0
633,Balaghat,244816.0
518,Dibrugarh,243730.0
418,Jhajjar,243339.0
108,Surguja,242921.0
568,Chandauli,242553.0
558,Chikmagalur,239508.0
641,Aurangabad,236854.0
241,Palwal ,236544.0
545,Dakshin Dinajpur,236295.0
405,Kaithal,236011.0
642,Auraiya,234222.0
600,Bhandara,233831.0
354,Koppal,233704.0
186,Rewari,233430.0
64,Vaishali,233079.0
415,Jharsuguda,231165.0
166,Sant Ravidas Nagar (Bhadohi),229302.0
417,Jhalawar,229291.0
293,Moga,227246.0
139,Singrauli,226786.0
353,Koraput,226169.0
243,Palamu,226003.0
469,Gondiya,225930.0
423,Janjgir - Champa,225061.0
470,Gonda,225029.0
578,Bundi,222701.0
41,Yadgir,220677.0
411,Jorhat,220534.0
156,Shahdol,219600.0
390,Karauli,218105.0
232,Pashchimi Singhbhum,218034.0
494,Faridkot,217051.0
261,Nawada,215579.0
53,Washim,211413.0
137,Sirohi,208654.0
474,Giridih,208024.0
648,Anugul  ,206546.0
351,Koriya,205299.0
647,Anuppur,205241.0
611,Barwani ,204069.0
521,Dhubri,203701.0
264,Narsimhapur,203540.0
537,Dausa,201793.0
149,Shimla,201351.0
113,Sultanpur,199916.0
516,Dimapur ,197869.0
632,Balangir,197381.0
610,Bastar,193494.0
298,Mayurbhanj,192896.0
511,Dohad  ,191625.0
613,Barnala,190685.0
135,Sitamarhi,190498.0
602,Bhadrak,185838.0
491,Fatehgarh Sahib,185482.0
312,Mahoba,185381.0
199,Rajsamand,183820.0
442,Imphal East,183207.0
131,Siwan,182913.0
26,DAMAN & DIU,182851.0
619,Baramula,182500.0
538,Datia,181982.0
614,Barmer,181837.0
492,Fatehabad,179588.0
449,Hingoli,178733.0
181,Rupnagar,177807.0
334,Lalitpur,175378.0
573,Chamarajanagar,174974.0
126,Sonitpur,173845.0
395,Kanpur Dehat,173423.0
646,Araria,168777.0
339,Kushinagar,168107.0
629,Balrampur,166391.0
576,Buxar,164499.0
158,Seoni,163890.0
301,Mansa,163604.0
468,Gopalganj,162805.0
320,Madhubani,161495.0
366,Kishanganj,161123.0
144,Siddharthnagar,160691.0
547,Dadra & Nagar Haveli,160595.0
27,DADRA & NAGAR HAVELI,160595.0
176,Sahibganj,159666.0
543,Daman,158860.0
177,Saharsa,156540.0
643,Ashoknagar,153684.0
5,SIKKIM,153578.0
429,Jalor,151755.0
93,Thoubal,151333.0
